Año_x,Trimestre_x,Provincia_x,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total,Item,Año_y,Trimestre_y,Provincia_y,Accesos por cada 100 hogares
2021,3,Chaco,38.258,63.659,27.583,8.018,2.353,139.871,2021Chaco,2021.0,3.0,Chaco,"42,96"
2021,3,Chaco,38.258,63.659,27.583,8.018,2.353,139.871,2021Chaco,2021.0,2.0,Chaco,"43,33"
2021,3,Chaco,38.258,63.659,27.583,8.018,2.353,139.871,2021Chaco,2021.0,1.0,Chaco,"43,14"
2021,3,Chubut,49.269,55.794,8.946,23.376,18.681,156.066,2021Chubut,2021.0,4.0,Chubut,"82,57"
2021,3,Chubut,49.269,55.794,8.946,23.376,18.681,156.066,2021Chubut,2021.0,3.0,Chubut,"80,71"
2021,3,Chubut,49.269,55.794,8.946,23.376,18.681,156.066,2021Chubut,2021.0,2.0,Chubut,"72,29"
2021,3,Chubut,49.269,55.794,8.946,23.376,18.681,156.066,2021Chubut,2021.0,1.0,Chubut,"68,99"
2021,3,Córdoba,229.275,477.223,167.495,57.617,15.178,946.788,2021Córdoba,2021.0,4.0,Córdoba,"84,51"
2021,3,Córdoba,229.275,477.223,167.495,57.617,15.178,946.788,2021Córdoba,2021.0,3.0,Córdoba,"81,28"
2021,3,Córdoba,229.275,477.223,167.495,57.617,15.178,946.788,2021Córdoba,2021.0,2.0,Córdoba,"80,12"
2021,3,Córdoba,229.275,477.223,167.495,57.617,15.178,946.788,2021Córdoba,2021.0,1.0,Córdoba,"78,59"
2021,3,Corrientes,44.805,69.403,7.542,6.766,5.303,133.819,2021Corrientes,2021.0,4.0,Corrientes,"45,51"
2021,3,Corrientes,44.805,69.403,7.542,6.766,5.303,133.819,2021Corrientes,2021.0,3.0,Corrientes,"44,9"
2021,3,Corrientes,44.805,69.403,7.542,6.766,5.303,133.819,2021Corrientes,2021.0,2.0,Corrientes,"43,54"
2021,3,Corrientes,44.805,69.403,7.542,6.766,5.303,133.819,2021Corrientes,2021.0,1.0,Corrientes,"42,66"
2021,3,Entre Ríos,74.443,128.752,20.485,23.500,13.195,260.375,2021Entre Ríos,2021.0,4.0,Entre Ríos,"63,16"
2021,3,Entre Ríos,74.443,128.752,20.485,23.500,13.195,260.375,2021Entre Ríos,2021.0,3.0,Entre Ríos,"62,18"
2021,3,Entre Ríos,74.443,128.752,20.485,23.500,13.195,260.375,2021Entre Ríos,2021.0,2.0,Entre Ríos,"61,66"
2021,3,Entre Ríos,74.443,128.752,20.485,23.500,13.195,260.375,2021Entre Ríos,2021.0,1.0,Entre Ríos,"60,44"
2021,3,Formosa,18.093,14.111,4.730,15.690,171.0,52.795,2021Formosa,2021.0,4.0,Formosa,"34,45"
2021,3,Formosa,18.093,14.111,4.730,15.690,171.0,52.795,2021Formosa,2021.0,3.0,Formosa,"33,96"
2021,3,Formosa,18.093,14.111,4.730,15.690,171.0,52.795,2021Formosa,2021.0,2.0,Formosa,"33,23"
2021,3,Formosa,18.093,14.111,4.730,15.690,171.0,52.795,2021Formosa,2021.0,1.0,Formosa,"32,73"
2021,3,Jujuy,23.554,60.758,19.926,2.952,3.968,111.158,2021Jujuy,2021.0,4.0,Jujuy,"56,92"
2021,3,Jujuy,23.554,60.758,19.926,2.952,3.968,111.158,2021Jujuy,2021.0,3.0,Jujuy,"55,69"
2021,3,Jujuy,23.554,60.758,19.926,2.952,3.968,111.158,2021Jujuy,2021.0,2.0,Jujuy,"56,18"
2021,3,Jujuy,23.554,60.758,19.926,2.952,3.968,111.158,2021Jujuy,2021.0,1.0,Jujuy,"55,63"
2021,3,La Pampa,9.015,57.881,17.817,14.479,1.295,100.487,2021La Pampa,2021.0,4.0,La Pampa,"89,57"
2021,3,La Pampa,9.015,57.881,17.817,14.479,1.295,100.487,2021La Pampa,2021.0,3.0,La Pampa,"84,28"
2021,3,La Pampa,9.015,57.881,17.817,14.479,1.295,100.487,2021La Pampa,2021.0,2.0,La Pampa,"82,08"
2021,3,La Pampa,9.015,57.881,17.817,14.479,1.295,100.487,2021La Pampa,2021.0,1.0,La Pampa,"81,78"
2021,3,La Rioja,11.329,54.744,9.444,6.613,30.0,82.160,2021La Rioja,2021.0,4.0,La Rioja,"77,92"
2021,3,La Rioja,11.329,54.744,9.444,6.613,30.0,82.160,2021La Rioja,2021.0,3.0,La Rioja,"77,26"
2021,3,La Rioja,11.329,54.744,9.444,6.613,30.0,82.160,2021La Rioja,2021.0,2.0,La Rioja,"76,98"
2021,3,La Rioja,11.329,54.744,9.444,6.613,30.0,82.160,2021La Rioja,2021.0,1.0,La Rioja,"49,81"
2021,3,Mendoza,91.474,71.247,70.579,21.811,828.0,255.939,2021Mendoza,2021.0,4.0,Mendoza,"47,51"
2021,3,Mendoza,91.474,71.247,70.579,21.811,828.0,255.939,2021Mendoza,2021.0,3.0,Mendoza,"45,55"
2021,3,Mendoza,91.474,71.247,70.579,21.811,828.0,255.939,2021Mendoza,2021.0,2.0,Mendoza,"40,97"
2021,3,Mendoza,91.474,71.247,70.579,21.811,828.0,255.939,2021Mendoza,2021.0,1.0,Mendoza,"39,15"
2021,3,Misiones,43.230,89.469,10.969,7.198,7.662,158.528,2021Misiones,2021.0,4.0,Misiones,"49,06"
2021,3,Misiones,43.230,89.469,10.969,7.198,7.662,158.528,2021Misiones,2021.0,3.0,Misiones,"45,57"
2021,3,Misiones,43.230,89.469,10.969,7.198,7.662,158.528,2021Misiones,2021.0,2.0,Misiones,"45,01"
2021,3,Misiones,43.230,89.469,10.969,7.198,7.662,158.528,2021Misiones,2021.0,1.0,Misiones,"43,17"
2021,3,Neuquén,29.650,73.794,16.455,19.270,640.0,139.809,2021Neuquén,2021.0,4.0,Neuquén,"73,3"
2021,3,Neuquén,29.650,73.794,16.455,19.270,640.0,139.809,2021Neuquén,2021.0,3.0,Neuquén,"69,71"
2021,3,Neuquén,29.650,73.794,16.455,19.270,640.0,139.809,2021Neuquén,2021.0,2.0,Neuquén,"69,14"
2021,3,Neuquén,29.650,73.794,16.455,19.270,640.0,139.809,2021Neuquén,2021.0,1.0,Neuquén,"66,84"
2021,3,Río Negro,47.934,44.519,18.725,15.031,18.376,144.585,2021Río Negro,2021.0,4.0,Río Negro,"65,69"
2021,3,Río Negro,47.934,44.519,18.725,15.031,18.376,144.585,2021Río Negro,2021.0,3.0,Río Negro,"61,97"
